Load Port,Eqp Type (Abrv) in Shipment,ETD,Dsch Port,ETA Dsch Port,Final Dest,ETA Final Dest,Msr (Per Eqp),Unit of Measure,Wgt (Per Eqp),Unit of Measure,PO No.,Item Class,Shipped Qty,PkgCode,Shipped Dtl Qty,PkgCode,Item Shipped Wgt,Unit of Measure,Item Shipped Msr,Unit of Measure
BANGLADESH - CHITTAGONG,,08/31/2017,,09/27/2017,,,,,,,,M-Tops,,,,,,,1.3953281195,
BANGLADESH - CHITTAGONG,,08/31/2017,,09/27/2017,,,,,,,,M-Tops,,,,,,,2.790656239,
BANGLADESH - CHITTAGONG,,08/31/2017,,09/27/2017,,,,,,,,M-Tops,,,,,,,5.581312478,
BANGLADESH - CHITTAGONG,,08/31/2017,,09/27/2017,,,,,,,,A-Accessories,,,,,,,2.790656239,
BANGLADESH - CHITTAGONG,,08/31/2017,,09/27/2017,,,,,,,,M-Tops,,,,,,,4.1859843585,
CHINA - SHENZHEN,,11/06/2017,,,,,,,,,,M-Tops,,,,,,,0.6976640598,
CHINA - SHENZHEN,,11/06/2017,,,,,,,,,,M-Tops,,,,,,,0.6976640598,
CHINA - SHENZHEN,,11/06/2017,,,,,,,,,,M-Tops,,,,,,,0.6976640598,
CHINA - SHENZHEN,,11/06/2017,,,,,,,,,,M-Tops,,,,,,,0.6976640598,
CHINA - SHENZHEN,,11/06/2017,,,,,,,,,,M-Tops,,,,,,,0.6976640598,
CHINA - SHENZHEN,,11/06/2017,,,,,,,,,,M-Tops,,,,,,,0.6976640598,
BANGLADESH - CHITTAGONG,,08/21/2017,,09/17/2017,,,,,,,,M-Tops,,,,,,,6.2789765378,
BANGLADESH - CHITTAGONG,,08/21/2017,,09/17/2017,,,,,,,,M-Tops,,,,,,,10.4649608963,
VIETNAM - HAI PHONG,,08/21/2017,,09/21/2017,,,,,,,,D-Jackets,,,,,,,0.6976640598,
PAKISTAN - KARACHI,,08/28/2017,,09/26/2017,,,,,,,,C-Trousers,,,,,,,2.790656239,
BANGLADESH - CHITTAGONG,,09/04/2017,,10/01/2017,,,,,,,,M-Tops,,,,,,,1.9534593673,
BANGLADESH - CHITTAGONG,,09/04/2017,,10/01/2017,,,,,,,,M-Tops,,,,,,,3.5580867047,
BANGLADESH - CHITTAGONG,,09/04/2017,,10/01/2017,,,,,,,,M-Tops,,,,,,,2.790656239,
BANGLADESH - CHITTAGONG,,09/04/2017,,10/01/2017,,,,,,,,M-Tops,,,,,,,1.1162624956,
BANGLADESH - CHITTAGONG,,09/04/2017,,10/01/2017,,,,,,,,M-Tops,,,,,,,1.0464960896,
BANGLADESH - CHITTAGONG,,09/04/2017,,10/01/2017,,,,,,,,M-Tops,,,,,,,1.9534593673,
BANGLADESH - CHITTAGONG,,09/04/2017,,10/01/2017,,,,,,,,M-Tops,,,,,,,3.5580867047,
BANGLADESH - CHITTAGONG,,09/04/2017,,10/01/2017,,,,,,,,M-Tops,,,,,,,2.790656239,
BANGLADESH - CHITTAGONG,,09/04/2017,,10/01/2017,,,,,,,,M-Tops,,,,,,,1.1162624956,
BANGLADESH - CHITTAGONG,,09/04/2017,,10/01/2017,,,,,,,,M-Tops,,,,,,,1.0464960896,
BANGLADESH - CHITTAGONG,,09/04/2017,,10/01/2017,,,,,,,,M-Tops,,,,,,,1.9534593673,
BANGLADESH - CHITTAGONG,,09/04/2017,,10/01/2017,,,,,,,,M-Tops,,,,,,,3.5580867047,
BANGLADESH - CHITTAGONG,,09/04/2017,,10/01/2017,,,,,,,,M-Tops,,,,,,,2.790656239,
BANGLADESH - CHITTAGONG,,09/04/2017,,10/01/2017,,,,,,,,M-Tops,,,,,,,1.1162624956,
BANGLADESH - CHITTAGONG,,09/04/2017,,10/01/2017,,,,,,,,M-Tops,,,,,,,1.0464960896,
BANGLADESH - CHITTAGONG,,09/04/2017,,10/01/2017,,,,,,,,M-Tops,,,,,,,1.9534593673,
BANGLADESH - CHITTAGONG,,09/04/2017,,10/01/2017,,,,,,,,M-Tops,,,,,,,3.5580867047,
